especies de hospederos,largo,sexo,parasitos,localidad
Leptodactylus melanonotus,1.3, N/D ,0,Arroyo Chamela
Leptodactylus melanonotus,2.5, hembra,1,Arroyo Chamela
Leptodactylus melanonotus,2.3, hembra  ,0,Arroyo Chamela
Leptodactylus melanonotus,2.2, N/D ,1,Arroyo Chamela
Leptodactylus melanonotus,1.1,hembra,0,Arroyo Chamela
Leptodactylus melanonotus,1.9,   hembra,0,Arroyo Chamela
Leptodactylus melanonotus,1.9,N/D,12,Arroyo Chamela
Leptodactylus melanonotus,2.1,hembra,5,Arroyo Chamela
Leptodactylus melanonotus,1.2,hembra,0,Arroyo Chamela
Leptodactylus melanonotus,1.3,N/,2,Arroyo Chamela
Leptodactylus melanonotus,1,hembra,0,Arroyo Chamela
Leptodactylus melanonotus,2.9,N/D,6,Arroyo Chamela
Leptodactylus melanonotus,3.4,   hembra,8,Rio Cuixmala
Leptodactylus melanonotus,1.3,macho,11,Rio Cuixmala
Leptodactylus melanonotus,3.5,macho,0,Rio Cuixmala
Leptodactylus melanonotus,2.7,N/,14,Rio Cuixmala
Leptodactylus melanonotus,3.2,machos,7,Rio Cuixmala
Leptodactylus melanonotus,4.9,hembra,34,Rio Cuixmala
Leptodactylus melanonotus,4.6,N/D,19,Rio Cuixmala
Leptodactylus melanonotus,3.9,macho,23,Rio Cuixmala
Leptodactylus melanonotus,3.3,macho,13,Rio Cuixmala
Leptodactylus melanonotus,2.6,N/D,21,Rio Cuixmala
Leptodactylus melanonotus,3.7,maho,0,Rio Cuixmala
Gastrophryne usta,2.1,N/D,0,Estacion
Gastrophryne usta,2.9,N/D,4,Estacion
Gastrophryne usta,3.6,hembras,78,Estacion
Gastrophryne usta,3.3,hembras,31,Estacion
Gastrophryne usta,3.5,N/D,65,Estacion
Gastrophryne usta,2.9,hembra,71,Estacion
Gastrophryne usta,2.9,hembra,42,Estacion
Gastrophryne usta,2.6,hembra,62,Estacion
Gastrophryne usta,2.2,hembras,26,Estacion
Gastrophryne usta,2.5,macho ,10,Estacion
Gastrophryne usta,3.2,hembra,54,Estacion
Incilius marmoreus,3.7,macho,25,Estacion
Incilius marmoreus,4.9,hembra,33,Estacion
Incilius marmoreus,5.4,N/D,18,Estacion
Incilius marmoreus,6.5,hembra,237,Estacion
Incilius marmoreus,5.5,machos,223,Estacion
Incilius marmoreus,6.5,hembra,307,Estacion
